Estação,Código,Latitude,Longitude,Altitude,Estado,Municipio,Chuva,Vazao,Data
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","91,76",2023-01-02 16:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 18:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-02 18:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-02 18:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-02 18:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,11",2023-01-02 19:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,11",2023-01-02 19:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-02 19:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-02 19:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-02 20:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 20:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 20:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 20:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 21:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 21:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 21:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 21:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 22:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 22:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 22:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 22:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-03 00:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 00:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 00:30:00
