data utc tins tmax tmin urins urmax urmin tdins tdmax tdmin presins presmax presmin vel dir raj rad prec
07/01/2019 0200 24,5 24,6 24,0 85,0 89,0 85,0 21,9 22,2 21,9 989,2 989,3 988,9 1,7 41,0 6,0 0,0 0,0
07/01/2019 0300 24,4 24,7 24,4 87,0 87,0 85,0 22,1 22,1 21,9 989,4 989,6 989,2 0,7 45,0 4,1 0,30 0,0
07/01/2019 0400 24,4 24,5 24,2 89,0 89,0 87,0 22,5 22,5 22,1 988,8 989,7 988,7 1,1 31,0 3,2 0,0 0,0
07/01/2019 0500 24,6 24,7 24,4 90,0 90,0 89,0 22,9 22,9 22,6 988,0 989,0 988,0 1,5 45,0 4,8 0,0 0,0
07/01/2019 0600 25,2 25,2 24,6 87,0 90,0 87,0 22,8 23,0 22,8 986,9 988,2 986,9 2,8 41,0 6,3 0,0 0,0
07/01/2019 0700 25,3 25,4 25,1 85,0 87,0 85,0 22,6 22,8 22,6 986,5 987,2 986,4 2,2 33,0 6,3 0,0 0,0
07/01/2019 0800 25,8 25,9 25,3 82,0 85,0 82,0 22,5 22,6 22,5 986,5 986,7 986,4 2,0 18,0 5,6 0,0 0,0
07/01/2019 0900 25,1 26,2 25,1 86,0 86,0 81,0 22,7 22,8 22,5 986,0 986,8 986,0 3,9 2,0 11,1 0,0 0,4
07/01/2019 1000 24,4 25,3 24,1 93,0 94,0 87,0 23,2 23,2 22,6 983,0 986,0 982,9 3,4 16,0 16,7 13,06 7,2
07/01/2019 1100 24,4 25,0 24,1 90,0 93,0 90,0 22,6 23,5 22,6 984,0 984,0 983,0 4,9 343,0 15,5 41,29 2,6
07/01/2019 1200 21,1 24,4 21,1 96,0 96,0 90,0 20,3 22,6 20,3 981,6 984,3 981,6 2,7 199,0 9,9 27,82 18,6
07/01/2019 1300 21,5 21,5 20,9 96,0 96,0 96,0 20,8 20,8 20,2 983,2 983,2 981,0 1,4 281,0 6,6 204,31 2,4
07/01/2019 1400 21,8 22,0 21,4 95,0 96,0 95,0 20,9 21,2 20,7 988,3 988,3 983,2 2,4 330,0 4,4 584,98 0,2
07/01/2019 1500 23,9 24,2 21,8 84,0 95,0 84,0 21,1 22,4 20,9 994,5 994,5 988,3 2,6 4,0 7,8 1750,41 0,0
07/01/2019 1600 25,3 25,6 23,5 78,0 86,0 77,0 21,1 21,8 20,6 995,0 995,3 993,6 3,4 310,0 10,2 2249,54 0,0
07/01/2019 1700 25,1 25,3 24,6 74,0 79,0 73,0 20,1 21,2 19,8 991,2 995,2 991,1 3,9 308,0 12,2 1397,47 0,0
07/01/2019 1800 26,9 27,2 24,9 67,0 75,0 65,0 20,3 21,7 19,6 993,9 993,9 991,2 4,2 310,0 12,4 2715,45 0,0
07/01/2019 1900 26,1 27,2 25,8 68,0 70,0 64,0 19,7 20,7 19,5 992,2 994,2 992,2 3,1 303,0 10,1 2494,39 0,0
07/01/2019 2000 26,5 27,8 26,0 65,0 70,0 63,0 19,4 20,8 19,4 991,1 992,2 990,8 3,1 289,0 9,0 1987,34 0,0
07/01/2019 2100 26,0 26,6 25,6 69,0 71,0 65,0 19,8 20,5 19,2 988,5 991,1 987,5 2,1 282,0 7,7 839,20 0,0
07/01/2019 2200 24,6 26,2 24,6 76,0 76,0 69,0 20,1 20,3 19,6 984,9 988,7 984,9 1,3 275,0 6,6 285,58 0,0
07/01/2019 2300 23,5 24,6 23,5 84,0 84,0 76,0 20,6 20,9 20,1 985,4 986,0 984,6 1,2 339,0 4,0 74,22 0,0
